datetime,weekly_total_mwh
2019-01-06,2462155.0
2019-01-13,3115621.0
2019-01-20,3174053.0
2019-01-27,3232842.0
2019-02-03,3328057.0
2019-02-10,2967763.0
2019-02-17,3031622.0
2019-02-24,2999483.0
2019-03-03,3074271.0
2019-03-10,3106145.0
2019-03-17,2835518.0
2019-03-24,2840183.0
2019-03-31,2732059.0
2019-04-07,2700264.0
2019-04-14,2617210.0
2019-04-21,2541292.0
2019-04-28,2526842.0
2019-05-05,2558411.0
2019-05-12,2524681.0
2019-05-19,2573935.0
2019-05-26,2668523.0
2019-06-02,2733078.0
2019-06-09,2844481.0
2019-06-16,2774332.0
2019-06-23,2984952.0
2019-06-30,3502796.0
2019-07-07,3602973.0
2019-07-14,3641982.0
2019-07-21,4063356.0
2019-07-28,3617999.0
2019-08-04,3831729.0
2019-08-11,3422128.0
2019-08-18,3506421.0
2019-08-25,3509696.0
2019-09-01,3026665.0
2019-09-08,2952565.0
2019-09-15,3023943.0
2019-09-22,2825874.0
2019-09-29,2995110.0
2019-10-06,2798732.0
2019-10-13,2597420.0
2019-10-20,2588937.0
2019-10-27,2591271.0
2019-11-03,2618282.0
2019-11-10,2751046.0
2019-11-17,2924562.0
2019-11-24,2856293.0
2019-12-01,2784021.0
2019-12-08,3039285.0
2019-12-15,2979970.0
2019-12-22,3183973.0
2019-12-29,2803616.0
2020-01-05,2837900.0
2020-01-12,2942743.0
2020-01-19,2979703.0
2020-01-26,3031953.0
2020-02-02,2958816.0
2020-02-09,2931335.0
2020-02-16,2971639.0
2020-02-23,2909039.0
2020-03-01,2876298.0
2020-03-08,2748511.0
2020-03-15,2638034.0
2020-03-22,2608125.0
2020-03-29,2533037.0
2020-04-05,2435613.0
2020-04-12,2373782.0
2020-04-19,2413937.0
2020-04-26,2429024.0
2020-05-03,2352708.0
2020-05-10,2363142.0
2020-05-17,2367221.0
2020-05-24,2344242.0
2020-05-31,2658764.0
2020-06-07,2716412.0
2020-06-14,2883443.0
2020-06-21,2953663.0
2020-06-28,3388432.0
2020-07-05,3361362.0
2020-07-12,3703753.0
2020-07-19,3542366.0
2020-07-26,3897261.0
2020-08-02,3901501.0
2020-08-09,3404370.0
2020-08-16,3694026.0
2020-08-23,3209868.0
2020-08-30,3429902.0
2020-09-06,3103265.0
2020-09-13,3061334.0
2020-09-20,2596889.0
2020-09-27,2635855.0
2020-10-04,2686370.0
2020-10-11,2517075.0
2020-10-18,2532877.0
2020-10-25,2589268.0
2020-11-01,2664971.0
2020-11-08,2614669.0
2020-11-15,2603773.0
2020-11-22,2707856.0
2020-11-29,2601579.0
2020-12-06,2779937.0
2020-12-13,2888138.0
2020-12-20,3087998.0
2020-12-27,2874881.0
2021-01-03,2870262.0
2021-01-10,2955307.0
2021-01-17,2920630.0
2021-01-24,2976729.0
2021-01-31,3176880.0
2021-02-07,3072251.0
2021-02-14,3156337.0
2021-02-21,3064415.0
2021-02-28,2872305.0
2021-03-07,2904453.0
2021-03-14,2662635.0
2021-03-21,2796520.0
2021-03-28,2485177.0
2021-04-04,2538400.0
2021-04-11,2404600.0
2021-04-18,2486674.0
2021-04-25,2479381.0
2021-05-02,2446736.0
2021-05-09,2425600.0
2021-05-16,2416477.0
2021-05-23,2763657.0
2021-05-30,2726409.0
2021-06-06,2774732.0
2021-06-13,3307690.0
2021-06-20,2948373.0
2021-06-27,3182196.0
2021-07-04,3608222.0
2021-07-11,3408902.0
2021-07-18,3601131.0
2021-07-25,3325253.0
2021-08-01,3272062.0
2021-08-08,3165229.0
2021-08-15,3779187.0
2021-08-22,3523200.0
2021-08-29,3724957.0
2021-09-05,3078809.0
2021-09-12,2947596.0
2021-09-19,3198648.0
2021-09-26,2890768.0
2021-10-03,2601623.0
2021-10-10,2679848.0
2021-10-17,2691755.0
2021-10-24,2539081.0
